feature,importance
Number,0.17047034887644047
HTTPS,0.13251365946552726
ack_flag_number,0.10258751488029795
Header_Length,0.08831797971067235
IAT,0.0801255780508711
Tot size,0.0651926552916039
Rate,0.06278096677690159
ack_count,0.058487574033340144
AVG,0.04186667072027476
Max,0.032128300572130036
Std,0.031998459653745835
Tot sum,0.031120474874806084
Variance,0.028110258740733234
Time_To_Live,0.023107715242704486
TCP,0.01018986265603181
Min,0.008472246353796686
psh_flag_number,0.006714642060372691
syn_count,0.004988797206601274
syn_flag_number,0.002891630485468214
UDP,0.0023302796434417575
Protocol Type,0.0023185557350866113
DNS,0.0017928752604728273
rst_count,0.0017764703723190732
HTTP,0.001774825324049688
ICMP,0.001543519643050641
IPv,0.0012812513599496827
rst_flag_number,0.0011047234159822096
ARP,0.0009535606934396983
fin_count,0.0009413748864537104
LLC,0.0008511974667809645
fin_flag_number,0.0007405725336202404
DHCP,0.0002756531348344252
SSH,0.00013599521758364473
Telnet,5.8861785389472836e-05
IRC,2.113694469177822e-05
ece_flag_number,1.6100014216837544e-05
cwr_flag_number,1.11076443419806e-05
IGMP,6.603271974995857e-06
SMTP,0.0
